% Time	A1	A2	A3	A4	A5	A6	
14.372	1.3436	-0.3988	1.0806	-0.3330	0.1272	0.5546	-0.0484	
14.402	0.8176	-0.4317	-0.4317	-0.4316	0.6861	-0.4316	-0.0503	
14.432	0.4889	-0.1029	-0.8590	-0.4316	-0.7604	-3.1274	-0.0510	
14.462	1.1135	-0.2015	-0.1029	-0.1029	-0.1686	0.3574	-0.0503	
14.492	1.3436	0.1601	-0.6289	-0.0371	0.7847	-0.5303	-0.0490	
14.522	1.3107	-0.4974	0.5546	-0.1358	-0.1029	0.5875	-0.0490	
14.552	1.0149	-0.2344	-1.6809	-0.1686	-0.7275	-1.7138	-0.0497	
14.582	0.8834	-0.4645	-1.1220	-0.6618	-0.3001	-1.7138	-0.1641	
14.612	1.4094	-0.3002	0.0286	-0.2673	0.1601	0.5875	-0.0507	
14.642	1.0806	0.0286	-0.0700	0.4889	0.1930	0.4889	-0.0533	
14.672	1.1792	-0.1686	-0.6618	-0.1029	0.2587	-0.3988	-0.0503	
14.702	0.5875	0.4231	-2.4370	0.4231	-0.1358	1.2779	-0.0500	
14.732	0.6861	0.6861	-1.8782	-0.4974	-0.6618	-0.1686	-0.0487	
14.762	1.2450	-0.6947	1.0477	-0.1029	-0.3001	1.1135	-0.0471	
14.792	1.2450	0.1272	1.1135	-0.3330	0.5217	0.2587	-0.0507	
14.822	1.3107	0.0286	-0.6289	0.0286	0.0944	7.4912	-0.0517	
14.852	1.0477	-0.6289	-0.4645	-0.3659	-0.4974	-2.2069	-0.0500	
14.882	0.8176	-0.5303	0.7190	-0.7933	2.8887	-2.2069	-0.0494	
14.912	0.9162	-0.1686	0.2259	-0.1686	-0.0043	-0.2344	-0.0523	
14.942	1.1135	0.4231	-0.3002	-0.1029	-1.7466	1.7381	-0.0513	
14.972	1.5737	-0.5960	0.9491	-0.1029	-0.2673	0.7847	-0.0530	
15.002	1.5080	-0.5303	0.8176	-0.3001	-0.0371	1.1792	-0.2851	
15.032	0.9162	-0.7275	0.7190	-0.6618	-0.2673	2.2970	-0.0543	
15.062	1.2450	-0.0700	-1.4508	-0.2015	0.2259	-0.2344	-0.0490	
15.092	0.8834	3.0202	0.2259	0.0944	0.0944	0.3902	-0.0533	
15.122	0.7847	0.1601	-0.5960	-0.0043	-0.0371	-0.3330	-0.0497	
15.152	1.1135	-0.2015	-0.7933	-0.2344	0.0615	-0.9576	-0.0484	
15.182	0.9162	-0.2673	0.1601	-0.8919	-5.5602	-0.8919	-0.0477	
15.212	0.6861	-0.1358	-0.6618	-0.6289	-0.4645	-0.8590	-0.0494	
15.242	0.9162	-0.2673	-1.3193	-0.2673	-0.1686	-1.5494	-0.0507	
