% ref_X :3.0000
% max_spd :1.2000
% com_spd :0.6000
% repeat time :0.0000
% steady_interval :10.0000
% Time	A1	A2	A3	A4	A5	A6	Trigger	Speed	
160.452	-0.4974	0.9491	-1.8782	0.3245	-0.5960	-0.3330	-0.0425	0.0466	
160.482	-0.2673	-0.0371	-0.8262	-1.8453	-0.0371	-1.9439	-0.0421	0.0500	
160.512	0.2916	-0.2344	-0.1029	-0.2015	0.0286	-1.7138	-0.0392	0.0533	
160.542	0.3245	0.1930	-1.1549	-0.1358	-0.0043	-1.0234	-0.0336	0.0566	
160.572	-0.0043	-0.1029	1.4751	-0.1029	0.2259	0.2587	-0.0355	0.0600	
160.602	-0.4317	0.7847	-0.4974	-0.2015	0.0286	-0.0043	-0.0372	0.0633	
160.632	-0.2673	-0.2344	0.3902	-0.6289	-0.8261	-0.2673	-0.0332	0.0666	
160.662	1.8696	-0.3330	0.6532	-0.6946	-0.3659	-1.0891	-0.0313	0.0666	
160.692	0.1930	0.1272	-1.0563	-0.0700	-0.0700	-2.0096	-0.0273	0.0700	
160.722	-0.3988	0.7847	-0.4317	-0.2344	1.1464	-0.4316	-0.0283	0.0733	
160.752	0.3902	0.4560	0.2587	-0.3001	0.2259	0.0286	-0.0257	0.0766	
160.782	-0.2344	0.0286	-0.6947	-0.3001	-0.5631	-0.3659	-0.0329	0.0800	
160.812	-0.4645	0.1930	-1.6809	-0.7604	-0.4316	-1.0563	-0.0293	0.0833	
160.842	-0.3330	0.7519	-0.3002	-0.3659	0.0615	-0.3001	-0.0263	0.0866	
160.872	0.5875	0.2916	0.2916	0.0615	0.3902	-0.3001	0.0279	0.0900	
160.902	-0.1029	0.5875	-1.3522	-0.0371	-0.1686	0.9162	-0.0247	0.0933	
160.932	-0.0043	-0.0371	-2.9630	-0.2344	-0.3988	-1.7466	-0.0257	0.0966	
160.962	-0.2015	-0.1358	-0.6947	-0.4974	-0.2673	-2.0096	-0.0234	0.0966	
160.992	-0.1358	0.2259	0.5546	-0.6618	-0.0371	0.2587	-0.0234	0.1000	
161.022	0.3245	0.4231	0.3574	0.2587	0.5875	-0.3988	-0.1404	0.1033	
161.052	-0.2344	0.5875	-3.6205	0.1930	-0.1358	0.1930	-0.0270	0.1066	
161.082	-0.2015	0.1601	-0.7275	-0.3988	-0.5960	-0.5303	-0.0231	0.1100	
161.112	-0.3659	0.0615	0.2916	-0.9905	-0.3330	-1.1549	-0.0487	0.1133	
161.142	-0.1029	0.3574	-0.9905	-0.3659	0.0286	-0.3001	-0.0214	0.1166	
161.172	0.2916	0.3574	0.1601	-0.0700	-0.2673	1.4094	-0.0244	0.1200	
161.202	0.6204	-0.3988	1.0477	-0.3330	0.1930	-1.2206	-0.0244	0.1233	
161.232	0.0286	0.2259	-1.1220	-0.3659	-0.4974	-0.5631	-0.0250	0.1266	
161.262	-0.0371	0.1930	-1.9768	-0.5303	-0.2673	-0.5631	-0.0227	0.1266	
161.292	0.1601	0.2259	-0.7604	-0.0043	-0.1358	-0.3988	-0.0211	0.1096	
