% Time	SBX	SBY	SBZ	FRX	FRY	FRZ	FLX	FLY	FLZ	WRX	WRY	WRZ	WLX	WLY	WLZ	SpdCom	ax	ay	az	gx	gy	gz	mx	my	mz	Angle	headZ
0.767	0.0850	0.6318	3.2849	0.0274	0.0891	3.6576	-0.0408	-0.0807	3.5458	-0.0702	0.6133	3.1058	-0.0625	0.5838	3.1438	-0.0747	1.1087	2.8876	0.0531	0.6215	3.2631	0.000	
0.800	0.0853	0.6344	3.2845	0.0272	0.0884	3.6571	-0.0389	-0.0787	3.5450	-0.0709	0.6126	3.1069	-0.0623	0.5841	3.1433	-0.0748	1.1090	2.8901	0.0544	0.6230	3.2609	0.000	
0.833	0.0875	0.6370	3.2824	0.0277	0.0863	3.6578	-0.0371	-0.0755	3.5422	-0.0770	0.6052	3.1199	-0.0615	0.5838	3.1414	-0.0752	1.1090	2.8894	0.0577	0.6243	3.2554	0.000	
0.867	0.0892	0.6388	3.2802	0.0284	0.0878	3.6597	-0.0359	-0.0733	3.5413	-0.0824	0.6269	3.1039	-0.0615	0.5839	3.1415	-0.0748	1.1078	2.8873	0.0583	0.6272	3.2552	0.000	
0.900	0.0852	0.6327	3.2801	0.0268	0.0903	3.6619	-0.0499	-0.1004	3.5536	-0.0771	0.6038	3.1204	-0.0616	0.5846	3.1423	-0.0691	1.1090	2.8790	0.0513	0.6186	3.2559	0.000	
0.933	0.0851	0.6329	3.2800	0.0267	0.0904	3.6623	-0.0363	-0.0841	3.5382	-0.0699	0.6098	3.1076	-0.0621	0.5845	3.1435	-0.0687	1.1086	2.8792	0.0512	0.6184	3.2552	0.000	
0.967	0.0822	0.6160	3.2930	0.0296	0.0924	3.6622	-0.0430	-0.0997	3.5403	-0.0711	0.6087	3.1096	-0.0618	0.5848	3.1438	-0.0701	1.1092	2.8821	0.0447	0.5861	3.2638	0.000	
1.000	0.0838	0.5910	3.2903	0.0569	0.0381	3.7281	-0.0417	-0.1110	3.5455	-0.0803	0.6274	3.1078	-0.0629	0.5870	3.1460	-0.0705	1.1095	2.8818	0.0385	0.5806	3.2830	0.000	
1.033	0.0827	0.5926	3.2963	0.0559	0.0404	3.7244	-0.0413	-0.1169	3.5482	-0.0733	0.6067	3.1085	-0.0620	0.5873	3.1480	-0.0786	1.1145	2.9035	0.0407	0.5700	3.2729	0.000	
1.067	0.0755	0.5949	3.2886	0.0515	0.0419	3.7257	-0.0422	-0.1158	3.5483	-0.0715	0.6034	3.1105	-0.0616	0.5881	3.1485	-0.0786	1.1143	2.9035	0.0341	0.5701	3.2588	0.000	
1.100	0.0800	0.6015	3.2877	0.0507	0.0417	3.7267	-0.0423	-0.1150	3.5477	-0.0902	0.5794	3.1598	-0.0606	0.5917	3.1507	-0.0781	1.1140	2.9017	0.0391	0.5796	3.2612	0.000	
1.133	0.0829	0.5985	3.2904	0.0508	0.0414	3.7263	-0.0418	-0.1134	3.5467	-0.0177	0.5343	3.1487	-0.0597	0.5946	3.1529	-0.0756	1.1131	2.8954	0.0430	0.5684	3.2612	0.000	
1.167	0.0934	0.5819	3.2994	0.0512	0.0410	3.7263	-0.0418	-0.1119	3.5459	-0.0829	0.5730	3.1548	-0.0590	0.5960	3.1537	-0.0753	1.1127	2.8943	0.0595	0.5211	3.2428	0.000	
1.233	0.0953	0.5877	3.2928	0.0520	0.0425	3.7218	-0.0382	-0.1080	3.5424	-0.0179	0.5727	3.1176	-0.0582	0.5984	3.1545	-0.0753	1.1099	2.8905	0.0546	0.5701	3.2645	0.000	
1.267	0.0940	0.5859	3.2932	0.0531	0.0424	3.7211	-0.0360	-0.1046	3.5399	-0.0173	0.5736	3.1166	-0.0580	0.5990	3.1554	-0.0761	1.1089	2.8915	0.0501	0.5574	3.2603	0.000	
1.300	0.0894	0.5742	3.2947	0.0538	0.0418	3.7214	-0.0336	-0.1054	3.5383	-0.0179	0.5274	3.1432	-0.0578	0.5991	3.1557	-0.0759	1.1085	2.8912	0.0444	0.5303	3.2525	0.000	
1.333	0.0917	0.5796	3.2931	0.0542	0.0414	3.7211	-0.0340	-0.0992	3.5354	-0.0212	0.5683	3.1196	-0.0578	0.5997	3.1563	-0.0753	1.1080	2.8896	0.0490	0.5513	3.2590	0.000	
1.367	0.0987	0.5806	3.2985	0.0554	0.0406	3.7195	-0.0324	-0.1076	3.5383	-0.0214	0.5684	3.1177	-0.0576	0.5995	3.1563	-0.0746	1.1065	2.8875	0.0552	0.5471	3.2604	0.000	
1.400	0.0995	0.5761	3.3002	0.0553	0.0390	3.7185	-0.0319	-0.1095	3.5396	-0.0227	0.5677	3.1180	-0.0557	0.5996	3.1557	-0.0755	1.1060	2.8911	0.0564	0.5352	3.2591	0.000	
1.433	0.1006	0.5732	3.3019	0.0555	0.0391	3.7186	-0.0319	-0.1100	3.5393	-0.0199	0.5250	3.1486	-0.0554	0.5982	3.1568	-0.0742	1.1059	2.8921	0.0572	0.5299	3.2583	0.000	
1.467	0.0977	0.5688	3.3037	0.0554	0.0390	3.7192	-0.0321	-0.1086	3.5382	-0.0764	0.5742	3.1573	-0.0550	0.5980	3.1570	-0.0727	1.1055	2.8901	0.0543	0.5259	3.2584	0.000	
1.500	0.0880	0.5730	3.2968	0.0553	0.0392	3.7196	-0.0317	-0.1107	3.5400	-0.0757	0.5746	3.1560	-0.0543	0.5974	3.1565	-0.0709	1.1045	2.8873	0.0461	0.5314	3.2517	0.000	
1.533	0.0922	0.5772	3.2974	0.0548	0.0397	3.7199	-0.0349	-0.1017	3.5376	-0.0178	0.5277	3.1475	-0.0546	0.5973	3.1564	-0.0699	1.1015	2.8825	0.0517	0.5436	3.2607	0.000	
1.567	0.0889	0.5771	3.2969	0.0546	0.0393	3.7208	-0.0311	-0.1226	3.5497	-0.0175	0.5280	3.1476	-0.0542	0.5971	3.1558	-0.0695	1.1014	2.8820	0.0471	0.5435	3.2607	0.000	
1.600	0.0855	0.5798	3.2919	0.0543	0.0392	3.7209	-0.0319	-0.1231	3.5480	-0.0084	0.5462	3.1157	-0.0529	0.5953	3.1529	-0.0693	1.1021	2.8815	0.0432	0.5498	3.2586	0.000	
1.633	0.0831	0.5793	3.2934	0.0526	0.0369	3.7209	-0.0295	-0.1294	3.5514	-0.0176	0.5338	3.1494	-0.0537	0.5953	3.1536	-0.0686	1.1016	2.8820	0.0412	0.5481	3.2591	0.000	
1.667	0.0868	0.5847	3.2987	0.0511	0.0356	3.7209	-0.0357	-0.1023	3.5356	-0.0194	0.5283	3.1603	-0.0537	0.5955	3.1536	-0.0688	1.1017	2.8824	0.0441	0.5494	3.2613	0.000	
1.700	0.0867	0.5846	3.2987	0.0520	0.0353	3.7202	-0.0341	-0.1166	3.5434	-0.0725	0.6170	3.1136	-0.0547	0.5969	3.1549	-0.0682	1.1013	2.8813	0.0440	0.5489	3.2613	0.000	
1.733	0.0856	0.5936	3.2876	0.0527	0.0354	3.7187	-0.0335	-0.1179	3.5447	-0.0726	0.6169	3.1138	-0.0558	0.5978	3.1551	-0.0678	1.1015	2.8815	0.0443	0.5756	3.2614	0.000	
1.767	0.0827	0.5950	3.2809	0.0527	0.0343	3.7185	-0.0332	-0.1149	3.5457	-0.0125	0.5653	3.1313	-0.0563	0.5977	3.1554	-0.0675	1.1013	2.8820	0.0422	0.5772	3.2584	0.000	
1.800	0.0939	0.5892	3.2888	0.0661	0.0552	3.7217	-0.0283	-0.1199	3.5529	-0.0156	0.5682	3.1253	-0.0562	0.5983	3.1543	-0.0680	1.1016	2.8830	0.0553	0.5559	3.2610	0.000	
1.833	0.0955	0.5769	3.2851	0.0509	0.0276	3.7056	-0.0236	-0.1217	3.5588	-0.0157	0.5706	3.1174	-0.0561	0.5991	3.1543	-0.0669	1.1020	2.8825	0.0527	0.5233	3.2366	0.000	
1.867	0.1001	0.5761	3.2885	0.0510	0.0290	3.7035	-0.0235	-0.1173	3.5576	-0.0084	0.5203	3.1394	-0.0565	0.5993	3.1542	-0.0666	1.1022	2.8821	0.0568	0.5230	3.2367	0.000	
