% Time	SBX	SBY	SBZ	FRX	FRY	FRZ	FLX	FLY	FLZ	WRX	WRY	WRZ	WLX	WLY	WLZ	SpdCom	ax	ay	az	gx	gy	gz	mx	my	mz	Angle
0.700	0.0742	-0.2565	1.5500	0.3196	-1.0008	1.8656	-0.0560	-1.0274	1.6663	0.3065	-0.2124	1.5411	-0.1142	-0.2538	1.5366	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
0.734	0.0744	-0.2565	1.5501	0.3133	-0.9991	1.8659	-0.0560	-1.0286	1.6675	0.3064	-0.2119	1.5407	-0.1147	-0.2536	1.5368	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
0.767	0.0744	-0.2565	1.5500	0.3139	-0.9988	1.8665	-0.0504	-1.0235	1.6585	0.3065	-0.2119	1.5408	-0.1144	-0.2536	1.5367	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
0.800	0.0744	-0.2565	1.5500	0.3152	-0.9988	1.8672	-0.0518	-1.0240	1.6589	0.3065	-0.2120	1.5408	-0.1150	-0.2534	1.5372	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
0.867	0.0743	-0.2565	1.5500	0.3162	-0.9986	1.8684	-0.0553	-1.0384	1.6748	0.3096	-0.2152	1.5428	-0.1151	-0.2534	1.5372	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
0.900	0.0742	-0.2564	1.5499	0.3163	-0.9985	1.8681	-0.0562	-1.0401	1.6760	0.3092	-0.2148	1.5420	-0.1152	-0.2533	1.5372	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
0.934	0.0742	-0.2564	1.5499	0.3155	-0.9984	1.8677	-0.0555	-1.0264	1.6664	0.3079	-0.2154	1.5418	-0.1153	-0.2533	1.5372	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
0.967	0.0742	-0.2564	1.5498	0.3079	-0.9809	1.8462	-0.0557	-1.0255	1.6653	0.3078	-0.2157	1.5421	-0.1152	-0.2533	1.5371	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.000	0.0741	-0.2565	1.5497	0.3400	-0.9298	1.7847	-0.0553	-1.0261	1.6648	0.3079	-0.2141	1.5412	-0.1153	-0.2534	1.5371	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.034	0.0741	-0.2565	1.5497	0.2603	-0.9272	1.9301	-0.0550	-1.0307	1.6675	0.3077	-0.2140	1.5412	-0.1154	-0.2532	1.5372	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.067	0.0741	-0.2565	1.5497	0.2649	-0.9378	1.9229	-0.0557	-1.0315	1.6687	0.3074	-0.2157	1.5422	-0.1148	-0.2541	1.5356	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.100	0.0742	-0.2565	1.5496	0.2642	-0.9385	1.9226	-0.0549	-1.0294	1.6658	0.3074	-0.2167	1.5428	-0.1147	-0.2540	1.5357	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.134	0.0741	-0.2565	1.5495	0.2637	-0.9412	1.9197	-0.0040	-1.0258	1.7704	0.3073	-0.2169	1.5426	-0.1148	-0.2539	1.5357	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.167	0.0741	-0.2565	1.5494	0.2642	-0.9426	1.9188	-0.0553	-1.0311	1.6667	0.3069	-0.2180	1.5433	-0.1147	-0.2538	1.5357	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.200	0.0740	-0.2565	1.5494	0.2595	-0.9321	1.9260	-0.0549	-1.0239	1.6602	0.3066	-0.2185	1.5434	-0.1121	-0.2538	1.5348	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.234	0.0739	-0.2566	1.5494	0.2600	-0.9389	1.9204	-0.0551	-1.0249	1.6617	0.3066	-0.2172	1.5428	-0.1122	-0.2537	1.5348	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.267	0.0738	-0.2566	1.5493	0.2616	-0.9291	1.9287	-0.0557	-1.0282	1.6644	0.3067	-0.2177	1.5429	-0.1122	-0.2536	1.5348	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
1.300	0.0739	-0.2566	1.5492	0.2621	-0.9294	1.9287	-0.0555	-1.0296	1.6654	0.3067	-0.2173	1.5427	-0.1123	-0.2534	1.5349	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.000	
